Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
BRISK,BRIEF,0,2896,0,0.000,0.000,38.438,9.231,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
BRISK,BRIEF,1,3000,180,10.146,185.372,36.665,8.560,MAT_BF,SEL_NN,2871,8.388,149.368,31.733,20.177
BRISK,BRIEF,2,2974,209,10.815,226.624,36.847,8.702,MAT_BF,SEL_NN,2973,8.346,148.314,36.212,26.792
BRISK,BRIEF,3,2953,223,10.949,209.478,36.000,9.428,MAT_BF,SEL_NN,2952,8.342,150.700,32.218,13.288
BRISK,BRIEF,4,2855,212,11.034,216.936,36.257,10.155,MAT_BF,SEL_NN,2923,8.675,157.698,31.330,25.563
BRISK,BRIEF,5,2906,191,9.999,193.219,35.600,8.199,MAT_BF,SEL_NN,2826,8.275,142.955,30.082,31.520
BRISK,BRIEF,6,2886,184,9.904,172.730,36.013,9.809,MAT_BF,SEL_NN,2874,8.336,147.165,31.800,27.682
BRISK,BRIEF,7,2886,201,10.360,174.963,37.242,10.719,MAT_BF,SEL_NN,2856,8.607,154.253,30.757,20.245
BRISK,BRIEF,8,2893,195,10.211,159.757,42.919,11.844,MAT_BF,SEL_NN,2849,8.411,149.047,33.020,21.234
BRISK,BRIEF,9,2930,198,10.555,185.086,39.917,8.862,MAT_BF,SEL_NN,2868,8.361,144.565,31.246,16.782

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
BRISK,ORB,0,2896,0,0.000,0.000,36.999,10.413,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
BRISK,ORB,1,3000,161,10.923,220.376,36.806,7.358,MAT_BF,SEL_NN,2860,18.105,481.546,31.324,25.567
BRISK,ORB,2,2974,203,11.486,244.224,36.434,8.693,MAT_BF,SEL_NN,2958,18.018,470.054,32.471,55.826
BRISK,ORB,3,2953,238,12.360,294.398,36.159,7.490,MAT_BF,SEL_NN,2933,18.006,477.313,31.888,24.137
BRISK,ORB,4,2855,188,10.606,199.409,35.732,7.377,MAT_BF,SEL_NN,2909,18.541,494.357,30.454,98.236
BRISK,ORB,5,2906,185,10.741,223.290,36.432,8.740,MAT_BF,SEL_NN,2811,18.087,487.276,29.777,-103.623
BRISK,ORB,6,2886,183,10.945,214.072,35.805,7.082,MAT_BF,SEL_NN,2853,18.254,480.979,29.976,76.622
BRISK,ORB,7,2886,208,11.086,201.903,40.520,8.682,MAT_BF,SEL_NN,2829,18.686,498.515,29.917,46.946
BRISK,ORB,8,2893,207,10.841,204.336,36.572,9.001,MAT_BF,SEL_NN,2832,18.482,491.356,33.629,36.211
BRISK,ORB,9,2930,189,11.261,221.208,36.703,7.762,MAT_BF,SEL_NN,2854,18.753,501.441,32.298,15.656

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
BRISK,FREAK,0,2896,0,0.000,0.000,36.274,59.699,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
BRISK,FREAK,1,3000,179,9.434,128.047,37.536,60.486,MAT_BF,SEL_NN,2400,27.280,1242.107,23.902,25.584
BRISK,FREAK,2,2974,199,9.800,141.742,35.449,57.836,MAT_BF,SEL_NN,2467,26.927,1195.413,23.556,-337.209
BRISK,FREAK,3,2953,217,9.502,123.527,37.115,60.087,MAT_BF,SEL_NN,2472,27.374,1239.699,24.394,24.936
BRISK,FREAK,4,2855,188,9.069,108.148,35.097,58.443,MAT_BF,SEL_NN,2466,27.655,1225.211,22.821,24.037
BRISK,FREAK,5,2906,163,9.009,108.942,37.128,61.919,MAT_BF,SEL_NN,2393,27.062,1213.128,27.210,52.867
BRISK,FREAK,6,2886,176,9.117,113.947,36.751,62.910,MAT_BF,SEL_NN,2450,27.550,1233.421,24.958,16.688
BRISK,FREAK,7,2886,199,9.449,124.846,37.457,59.395,MAT_BF,SEL_NN,2427,28.286,1290.607,23.767,25.308
BRISK,FREAK,8,2893,187,9.918,140.033,38.735,59.599,MAT_BF,SEL_NN,2415,27.571,1258.876,23.099,32.551
BRISK,FREAK,9,2930,186,9.748,135.019,37.040,59.323,MAT_BF,SEL_NN,2403,27.646,1241.323,23.803,20.444

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
BRISK,SIFT,0,2896,0,0.000,0.000,36.545,103.233,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
BRISK,SIFT,1,3000,178,10.564,188.187,46.024,147.394,MAT_BF,SEL_NN,2896,70.546,8586.494,94.091,21.342
BRISK,SIFT,2,2974,216,10.848,206.633,35.879,103.887,MAT_BF,SEL_NN,3000,70.202,8418.900,75.644,17.654
BRISK,SIFT,3,2953,250,11.382,244.544,36.006,103.415,MAT_BF,SEL_NN,2974,69.913,8329.525,76.905,26.045
BRISK,SIFT,4,2855,212,10.406,185.594,41.807,120.420,MAT_BF,SEL_NN,2953,70.593,8437.649,86.002,26.457
BRISK,SIFT,5,2906,201,10.556,204.719,39.477,105.523,MAT_BF,SEL_NN,2855,69.044,8421.642,70.206,46.726
BRISK,SIFT,6,2886,186,10.881,207.711,37.721,105.328,MAT_BF,SEL_NN,2906,69.813,8352.864,70.990,16.848
BRISK,SIFT,7,2886,204,10.798,200.927,41.229,109.687,MAT_BF,SEL_NN,2886,71.909,8594.758,71.701,19.499
BRISK,SIFT,8,2893,196,10.519,173.795,36.532,98.607,MAT_BF,SEL_NN,2886,72.741,9032.908,69.491,23.590
BRISK,SIFT,9,2930,206,11.230,223.585,42.772,122.346,MAT_BF,SEL_NN,2893,72.005,8598.934,82.706,16.801

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
ORB,BRISK,0,500,0,0.000,0.000,10.747,5.282,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
ORB,BRISK,1,500,50,24.322,773.608,8.902,4.568,MAT_BF,SEL_NN,391,25.630,1408.834,0.787,18.066
ORB,BRISK,2,500,54,23.108,674.231,10.383,6.104,MAT_BF,SEL_NN,386,27.526,1552.791,1.234,15.631
ORB,BRISK,3,500,74,24.462,767.967,8.671,4.639,MAT_BF,SEL_NN,394,26.095,1398.797,0.856,28.670
ORB,BRISK,4,500,60,24.415,750.486,10.442,4.549,MAT_BF,SEL_NN,388,26.276,1621.803,0.807,37.274
ORB,BRISK,5,500,64,23.839,741.961,8.733,4.692,MAT_BF,SEL_NN,398,24.559,1470.304,0.844,inf
ORB,BRISK,6,500,73,23.809,724.956,9.476,4.675,MAT_BF,SEL_NN,402,23.947,1398.501,0.772,20.063
ORB,BRISK,7,500,76,25.696,862.860,8.910,4.571,MAT_BF,SEL_NN,410,26.396,1597.591,0.787,44.167
ORB,BRISK,8,500,67,25.103,794.527,9.698,5.205,MAT_BF,SEL_NN,413,25.765,1464.691,1.041,11.863
ORB,BRISK,9,500,64,26.352,918.030,9.936,5.749,MAT_BF,SEL_NN,406,27.361,1668.162,1.079,12.339

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
ORB,BRIEF,0,500,0,0.000,0.000,9.018,3.813,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
ORB,BRIEF,1,500,54,26.244,944.890,9.196,3.448,MAT_BF,SEL_NN,500,7.674,129.942,1.409,20.110
ORB,BRIEF,2,500,55,24.408,855.094,8.646,3.402,MAT_BF,SEL_NN,500,7.755,130.825,1.377,22.482
ORB,BRIEF,3,500,74,24.835,843.542,8.837,3.690,MAT_BF,SEL_NN,500,7.901,136.971,1.522,90.008
ORB,BRIEF,4,500,63,24.859,843.065,11.318,3.596,MAT_BF,SEL_NN,500,7.841,152.266,1.444,25.119
ORB,BRIEF,5,500,68,22.777,725.836,9.859,3.824,MAT_BF,SEL_NN,500,7.881,205.953,1.783,inf
ORB,BRIEF,6,500,76,25.787,900.616,9.406,3.821,MAT_BF,SEL_NN,500,6.686,111.277,1.588,21.094
ORB,BRIEF,7,500,86,26.185,922.308,11.945,3.652,MAT_BF,SEL_NN,500,7.084,134.453,1.516,inf
ORB,BRIEF,8,500,76,25.236,883.013,9.902,3.400,MAT_BF,SEL_NN,500,6.765,107.764,1.409,70.543
ORB,BRIEF,9,500,69,26.427,1006.167,8.681,3.706,MAT_BF,SEL_NN,500,6.984,119.266,1.400,13.786

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
ORB,ORB,0,500,0,0.000,0.000,12.949,8.885,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
ORB,ORB,1,500,57,27.100,1015.091,9.280,6.540,MAT_BF,SEL_NN,500,15.807,410.586,1.626,172.248
ORB,ORB,2,500,62,28.433,1138.822,11.209,6.589,MAT_BF,SEL_NN,500,16.617,444.588,1.381,24.788
ORB,ORB,3,500,75,26.325,938.151,11.100,7.407,MAT_BF,SEL_NN,500,16.495,450.482,1.379,26.409
ORB,ORB,4,500,61,27.482,997.178,9.089,6.194,MAT_BF,SEL_NN,500,16.184,461.086,1.381,30.384
ORB,ORB,5,500,61,26.236,917.410,8.455,6.262,MAT_BF,SEL_NN,500,16.094,451.629,1.378,50.606
ORB,ORB,6,500,77,27.546,1067.469,10.358,6.038,MAT_BF,SEL_NN,500,15.098,392.974,1.380,18.946
ORB,ORB,7,500,74,27.761,1044.907,8.927,6.155,MAT_BF,SEL_NN,500,15.821,451.943,1.409,19.717
ORB,ORB,8,500,77,26.426,948.860,12.107,6.540,MAT_BF,SEL_NN,500,15.647,402.294,1.382,10.716
ORB,ORB,9,500,67,28.748,1140.599,9.217,7.508,MAT_BF,SEL_NN,500,15.861,432.276,1.940,2943771.038

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
ORB,FREAK,0,500,0,0.000,0.000,12.073,79.209,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
ORB,FREAK,1,500,28,18.206,342.713,12.290,66.734,MAT_BF,SEL_NN,154,24.721,1270.591,0.224,11.037
ORB,FREAK,2,500,36,19.124,378.255,11.176,70.631,MAT_BF,SEL_NN,156,22.513,1113.731,0.385,38.788
ORB,FREAK,3,500,43,18.395,355.638,12.877,66.601,MAT_BF,SEL_NN,175,24.560,1302.658,0.236,33.343
ORB,FREAK,4,500,36,18.087,339.802,10.754,72.729,MAT_BF,SEL_NN,173,22.916,1178.996,0.280,10.577
ORB,FREAK,5,500,41,18.313,344.927,10.640,62.766,MAT_BF,SEL_NN,162,26.296,1890.381,0.216,371.622
ORB,FREAK,6,500,50,19.292,387.908,11.299,65.667,MAT_BF,SEL_NN,173,23.301,1549.320,0.262,65.747
ORB,FREAK,7,500,45,19.586,408.332,13.659,72.211,MAT_BF,SEL_NN,179,25.698,1603.255,0.250,24.339
ORB,FREAK,8,500,39,19.144,391.193,9.251,61.946,MAT_BF,SEL_NN,174,21.925,1099.983,0.274,8.957
ORB,FREAK,9,500,36,18.676,363.872,9.550,66.727,MAT_BF,SEL_NN,187,24.155,1332.420,0.265,15.113

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
ORB,SIFT,0,500,0,0.000,0.000,10.949,99.323,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
ORB,SIFT,1,500,82,35.735,1847.343,10.300,86.659,MAT_BF,SEL_NN,500,48.551,6142.276,3.710,-23.175
ORB,SIFT,2,500,57,23.997,721.683,9.268,66.636,MAT_BF,SEL_NN,500,49.980,6463.330,2.651,11.016
ORB,SIFT,3,500,70,24.381,738.600,9.262,67.148,MAT_BF,SEL_NN,500,46.694,5618.088,2.547,25.926
ORB,SIFT,4,500,65,24.832,783.571,8.963,69.920,MAT_BF,SEL_NN,500,48.171,6478.580,2.509,76.130
ORB,SIFT,5,500,102,33.468,1668.478,11.864,67.814,MAT_BF,SEL_NN,500,46.398,5977.989,2.581,-2.210
ORB,SIFT,6,500,74,23.787,719.620,9.522,79.268,MAT_BF,SEL_NN,500,44.093,5673.679,3.033,inf
ORB,SIFT,7,500,77,25.117,801.604,9.467,79.649,MAT_BF,SEL_NN,500,44.032,5297.487,2.761,41.833
ORB,SIFT,8,500,71,24.721,766.338,8.960,67.615,MAT_BF,SEL_NN,500,45.490,5424.761,2.741,9.681
ORB,SIFT,9,500,63,25.421,803.174,9.464,83.139,MAT_BF,SEL_NN,500,47.424,6429.324,3.542,12.905

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,BRISK,0,1513,0,0.000,0.000,73.396,12.889,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,BRISK,1,1541,113,3.594,16.289,57.886,14.108,MAT_BF,SEL_NN,1513,25.781,1197.128,9.630,13.293
AKAZE,BRISK,2,1529,121,3.818,18.640,55.618,13.104,MAT_BF,SEL_NN,1541,26.209,1238.339,10.120,16.132
AKAZE,BRISK,3,1561,145,3.549,15.742,56.932,14.699,MAT_BF,SEL_NN,1529,26.042,1197.509,10.550,16.101
AKAZE,BRISK,4,1545,125,3.773,19.244,47.394,13.452,MAT_BF,SEL_NN,1561,26.277,1217.258,10.247,15.996
AKAZE,BRISK,5,1526,125,3.664,16.367,44.567,12.906,MAT_BF,SEL_NN,1545,26.253,1218.392,9.951,16.560
AKAZE,BRISK,6,1566,114,3.714,17.790,52.864,13.254,MAT_BF,SEL_NN,1526,25.374,1144.246,10.188,16.762
AKAZE,BRISK,7,1529,151,3.591,15.539,44.380,13.429,MAT_BF,SEL_NN,1566,26.057,1211.694,9.771,20.077
AKAZE,BRISK,8,1547,144,3.704,17.844,48.375,13.145,MAT_BF,SEL_NN,1529,25.146,1135.480,9.361,17.865
AKAZE,BRISK,9,1572,147,3.677,16.572,46.700,13.456,MAT_BF,SEL_NN,1547,26.028,1204.621,9.664,16.554

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,BRIEF,0,1513,0,0.000,0.000,49.010,10.110,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,BRIEF,1,1541,114,3.657,17.210,45.595,6.607,MAT_BF,SEL_NN,1513,7.362,125.590,11.738,14.416
AKAZE,BRIEF,2,1529,136,3.823,19.145,45.962,9.714,MAT_BF,SEL_NN,1541,7.570,136.936,11.863,22.231
AKAZE,BRIEF,3,1561,132,3.640,16.608,56.922,6.812,MAT_BF,SEL_NN,1529,7.376,132.407,12.022,13.364
AKAZE,BRIEF,4,1545,126,3.698,17.089,46.030,7.327,MAT_BF,SEL_NN,1561,7.471,132.374,13.397,15.380
AKAZE,BRIEF,5,1526,129,3.604,16.907,46.622,7.090,MAT_BF,SEL_NN,1545,7.471,131.171,13.302,16.637
AKAZE,BRIEF,6,1566,126,3.707,18.281,51.998,8.705,MAT_BF,SEL_NN,1526,7.239,121.568,15.205,13.877
AKAZE,BRIEF,7,1529,140,3.573,15.605,51.970,8.995,MAT_BF,SEL_NN,1566,7.388,131.394,12.344,15.882
AKAZE,BRIEF,8,1547,144,3.633,16.745,45.231,7.004,MAT_BF,SEL_NN,1529,7.034,118.795,12.168,15.931
AKAZE,BRIEF,9,1572,133,3.616,16.132,45.306,7.498,MAT_BF,SEL_NN,1547,7.141,120.719,12.391,14.152

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,ORB,0,1513,0,0.000,0.000,49.993,6.707,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,ORB,1,1541,128,3.649,16.884,45.861,6.425,MAT_BF,SEL_NN,1510,15.771,406.514,12.729,17.724
AKAZE,ORB,2,1529,139,3.708,17.805,44.281,6.676,MAT_BF,SEL_NN,1539,16.058,416.483,12.015,21.608
AKAZE,ORB,3,1561,143,3.549,15.694,45.195,6.158,MAT_BF,SEL_NN,1526,15.738,396.572,11.988,14.083
AKAZE,ORB,4,1545,132,3.645,16.538,46.787,6.558,MAT_BF,SEL_NN,1559,16.029,415.990,12.082,15.239
AKAZE,ORB,5,1526,128,3.629,15.839,50.389,6.196,MAT_BF,SEL_NN,1540,15.886,407.854,12.028,17.651
AKAZE,ORB,6,1566,126,3.685,17.516,45.185,6.616,MAT_BF,SEL_NN,1522,15.473,389.555,14.412,16.441
AKAZE,ORB,7,1529,159,3.832,18.857,45.668,7.452,MAT_BF,SEL_NN,1558,15.555,391.309,11.997,20.808
AKAZE,ORB,8,1547,143,3.726,17.609,47.246,6.071,MAT_BF,SEL_NN,1527,15.350,392.446,12.414,16.163
AKAZE,ORB,9,1572,141,3.619,15.650,47.353,6.238,MAT_BF,SEL_NN,1541,15.754,408.505,12.197,15.421

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,FREAK,0,1513,0,0.000,0.000,52.787,91.478,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,FREAK,1,1541,121,3.635,16.630,49.100,87.452,MAT_BF,SEL_NN,1513,19.807,658.687,16.826,20.330
AKAZE,FREAK,2,1529,139,3.688,17.174,50.021,75.794,MAT_BF,SEL_NN,1541,19.648,655.344,12.362,24.073
AKAZE,FREAK,3,1561,138,3.553,15.630,47.042,72.810,MAT_BF,SEL_NN,1529,19.313,636.690,12.767,16.540
AKAZE,FREAK,4,1545,144,3.743,17.962,45.667,72.025,MAT_BF,SEL_NN,1561,19.818,665.014,12.075,21.899
AKAZE,FREAK,5,1526,133,3.848,18.687,47.588,87.508,MAT_BF,SEL_NN,1545,19.723,659.791,14.582,20.287
AKAZE,FREAK,6,1566,127,3.609,15.587,47.170,75.159,MAT_BF,SEL_NN,1526,19.356,636.993,12.472,18.757
AKAZE,FREAK,7,1529,146,3.605,15.683,50.469,71.682,MAT_BF,SEL_NN,1566,19.678,655.577,12.542,17.965
AKAZE,FREAK,8,1547,142,3.675,16.377,44.829,71.937,MAT_BF,SEL_NN,1529,19.206,636.776,12.478,16.645
AKAZE,FREAK,9,1572,139,3.686,16.619,45.242,72.848,MAT_BF,SEL_NN,1547,19.367,636.502,15.366,14.451

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,AKAZE,0,1513,0,0.000,0.000,57.026,58.010,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,AKAZE,1,1541,127,3.757,18.599,62.576,52.559,MAT_BF,SEL_NN,1513,24.255,1225.126,21.108,15.526
AKAZE,AKAZE,2,1529,134,3.861,19.199,49.655,46.048,MAT_BF,SEL_NN,1541,25.272,1306.316,18.409,20.959
AKAZE,AKAZE,3,1561,140,3.710,17.864,47.432,45.424,MAT_BF,SEL_NN,1529,24.385,1238.667,18.446,15.119
AKAZE,AKAZE,4,1545,141,3.634,16.379,45.961,42.733,MAT_BF,SEL_NN,1561,24.736,1260.435,16.346,21.194
AKAZE,AKAZE,5,1526,137,3.584,15.395,46.885,42.028,MAT_BF,SEL_NN,1545,24.502,1237.515,15.660,23.923
AKAZE,AKAZE,6,1566,124,3.633,16.931,46.047,44.203,MAT_BF,SEL_NN,1526,23.937,1212.215,17.082,13.798
AKAZE,AKAZE,7,1529,150,3.716,17.924,51.185,45.637,MAT_BF,SEL_NN,1566,24.658,1260.228,16.328,16.085
AKAZE,AKAZE,8,1547,143,3.607,16.546,52.777,47.473,MAT_BF,SEL_NN,1529,23.696,1177.293,18.898,16.410
AKAZE,AKAZE,9,1572,146,3.694,16.529,47.203,42.532,MAT_BF,SEL_NN,1547,24.801,1273.014,16.133,15.232

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
AKAZE,SIFT,0,1513,0,0.000,0.000,52.555,45.854,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
AKAZE,SIFT,1,1541,116,3.810,18.869,45.652,41.869,MAT_BF,SEL_NN,1513,61.113,7710.887,24.162,12.943
AKAZE,SIFT,2,1529,125,3.940,21.355,46.099,40.638,MAT_BF,SEL_NN,1541,62.952,8252.293,22.817,15.373
AKAZE,SIFT,3,1561,131,3.724,18.747,48.320,41.975,MAT_BF,SEL_NN,1529,62.081,7832.764,22.502,13.789
AKAZE,SIFT,4,1545,126,3.652,16.654,50.601,43.238,MAT_BF,SEL_NN,1561,63.502,8170.813,26.678,15.135
AKAZE,SIFT,5,1526,122,3.552,15.152,49.898,42.068,MAT_BF,SEL_NN,1545,62.905,8039.742,23.362,19.093
AKAZE,SIFT,6,1566,126,3.712,18.015,45.782,41.264,MAT_BF,SEL_NN,1526,61.198,7628.556,22.893,15.318
AKAZE,SIFT,7,1529,148,3.811,18.805,49.428,42.375,MAT_BF,SEL_NN,1566,63.467,8053.620,24.955,17.387
AKAZE,SIFT,8,1547,138,3.798,19.277,49.143,40.387,MAT_BF,SEL_NN,1529,62.023,7977.696,23.141,14.609
AKAZE,SIFT,9,1572,140,3.739,17.348,47.279,42.904,MAT_BF,SEL_NN,1547,64.564,8448.044,23.937,15.732

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SIFT,BRISK,0,1891,0,0.000,0.000,152.768,17.668,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SIFT,BRISK,1,1915,138,2.833,33.999,139.622,17.312,MAT_BF,SEL_NN,1820,34.095,1918.855,16.049,-0.600
SIFT,BRISK,2,1825,136,2.611,26.732,135.120,14.811,MAT_BF,SEL_NN,1817,34.808,1961.014,12.449,46.885
SIFT,BRISK,3,1837,153,2.529,23.217,143.287,15.009,MAT_BF,SEL_NN,1747,34.255,1948.114,12.322,50.376
SIFT,BRISK,4,1828,146,2.848,31.121,144.349,15.542,MAT_BF,SEL_NN,1763,34.210,1879.906,12.663,-0.323
SIFT,BRISK,5,1877,142,2.575,25.625,137.183,15.055,MAT_BF,SEL_NN,1746,33.806,1894.739,12.100,-0.497
SIFT,BRISK,6,1931,159,2.326,18.714,141.077,14.974,MAT_BF,SEL_NN,1773,34.158,1926.904,13.464,26.146
SIFT,BRISK,7,1963,182,2.520,19.282,147.827,16.613,MAT_BF,SEL_NN,1814,34.138,1891.628,13.799,-0.307
SIFT,BRISK,8,1954,154,2.465,19.387,132.348,15.163,MAT_BF,SEL_NN,1854,34.222,1912.247,13.385,32.547
SIFT,BRISK,9,1983,172,2.375,16.113,131.912,15.806,MAT_BF,SEL_NN,1858,34.601,1910.213,14.724,40.361

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SIFT,BRIEF,0,1891,0,0.000,0.000,161.355,10.037,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SIFT,BRIEF,1,1915,134,2.752,30.232,142.830,7.362,MAT_BF,SEL_NN,1710,10.942,255.844,14.002,15.093
SIFT,BRIEF,2,1825,138,2.426,20.091,132.837,9.525,MAT_BF,SEL_NN,1700,11.490,294.300,14.302,19.971
SIFT,BRIEF,3,1837,152,2.376,18.888,143.059,6.508,MAT_BF,SEL_NN,1636,10.826,263.434,14.569,20.597
SIFT,BRIEF,4,1828,136,2.720,25.889,144.224,7.864,MAT_BF,SEL_NN,1660,10.610,242.173,13.287,30.309
SIFT,BRIEF,5,1877,132,2.663,24.100,149.404,8.336,MAT_BF,SEL_NN,1655,10.634,246.787,15.384,17.375
SIFT,BRIEF,6,1931,146,2.946,38.398,137.967,7.236,MAT_BF,SEL_NN,1686,10.365,235.247,13.394,16.849
SIFT,BRIEF,7,1963,158,2.437,18.714,138.740,8.659,MAT_BF,SEL_NN,1707,10.721,253.295,14.901,17.452
SIFT,BRIEF,8,1954,160,2.497,18.929,138.795,10.017,MAT_BF,SEL_NN,1740,11.022,270.194,13.944,25.541
SIFT,BRIEF,9,1983,160,2.561,21.327,143.839,7.205,MAT_BF,SEL_NN,1731,10.983,257.492,15.116,14.993

