Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SHITOMASI,FREAK,7,1894,117,2.000,4.000,13.957,65.590,MAT_BF,SEL_NN,1649,30.723,1434.738,14.889,inf
SHITOMASI,FREAK,8,1889,113,2.000,4.000,13.156,66.714,MAT_BF,SEL_NN,1661,29.382,1341.078,14.322,227.094
SHITOMASI,FREAK,9,1917,116,2.000,4.000,15.041,66.186,MAT_BF,SEL_NN,1658,30.010,1383.975,15.511,inf

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SHITOMASI,SIFT,0,1723,0,0.000,0.000,17.380,36.863,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SHITOMASI,SIFT,1,1759,88,2.000,4.000,13.824,25.097,MAT_BF,SEL_NN,1723,76.309,10721.766,34.398,14.685
SHITOMASI,SIFT,2,1820,104,2.000,4.000,13.177,25.594,MAT_BF,SEL_NN,1759,75.723,10673.744,32.329,12.419
SHITOMASI,SIFT,3,1850,114,2.000,4.000,16.335,22.867,MAT_BF,SEL_NN,1820,74.868,10684.883,36.049,12.996
SHITOMASI,SIFT,4,1828,103,2.000,4.000,14.403,26.775,MAT_BF,SEL_NN,1850,76.391,10831.078,33.951,14.257
SHITOMASI,SIFT,5,1806,111,2.000,4.000,13.009,24.160,MAT_BF,SEL_NN,1828,74.223,10525.233,33.507,12.557
SHITOMASI,SIFT,6,1877,103,2.000,4.000,13.559,25.595,MAT_BF,SEL_NN,1806,74.839,10548.941,33.675,14.898
SHITOMASI,SIFT,7,1894,113,2.000,4.000,13.141,24.244,MAT_BF,SEL_NN,1877,78.431,11287.049,36.963,17.664
SHITOMASI,SIFT,8,1889,115,2.000,4.000,13.284,25.774,MAT_BF,SEL_NN,1894,76.058,10930.866,35.701,15.816
SHITOMASI,SIFT,9,1917,108,2.000,4.000,12.680,22.851,MAT_BF,SEL_NN,1889,77.111,10905.497,36.343,13.492

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,BRISK,0,115,0,0.000,0.000,12.844,2.125,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
HARRIS,BRISK,1,209,10,3.000,9.000,15.635,3.052,MAT_BF,SEL_NN,114,34.750,1973.845,0.195,8.813
HARRIS,BRISK,2,114,18,3.000,9.000,13.696,1.958,MAT_BF,SEL_NN,205,47.659,3280.073,0.163,-0.494
HARRIS,BRISK,3,178,14,3.000,9.000,10.866,2.461,MAT_BF,SEL_NN,114,38.092,2183.671,0.184,-10.295
HARRIS,BRISK,4,250,17,3.000,9.000,11.567,3.169,MAT_BF,SEL_NN,175,39.394,2307.325,0.278,11.769
HARRIS,BRISK,5,241,19,3.000,9.000,11.336,3.006,MAT_BF,SEL_NN,244,40.289,2426.341,0.359,13.643
HARRIS,BRISK,6,259,16,3.000,9.000,14.434,3.201,MAT_BF,SEL_NN,233,41.494,2518.293,0.368,15.248
HARRIS,BRISK,7,272,29,3.000,9.000,11.464,3.316,MAT_BF,SEL_NN,251,39.026,2224.073,0.391,-51.104
HARRIS,BRISK,8,193,21,3.000,9.000,10.748,2.528,MAT_BF,SEL_NN,264,43.759,2689.243,0.322,-0.985
